"BIOMARKER","drug_mean_log2fc","drug_vs_placebo_pval","adj_pval","regulation"
"TOP3B",0,NA,NA,"Not Significant"
"ERCC1",0,NA,NA,"Not Significant"
"SIRT1",0,NA,NA,"Not Significant"
"HDAC1",0,NA,NA,"Not Significant"
"HSPA9",0,NA,NA,"Not Significant"
"GPX1",0,NA,NA,"Not Significant"
"GSR",0,NA,NA,"Not Significant"
"GSS",0,NA,NA,"Not Significant"
"GSTA4",0,NA,NA,"Not Significant"
"GSTP1",0,NA,NA,"Not Significant"
"MTCO1",0,NA,NA,"Not Significant"
"HSPD1",0,NA,NA,"Not Significant"
"HSPA1A",0,NA,NA,"Not Significant"
"HSPA1B",0,NA,NA,"Not Significant"
"PCMT1",0,NA,NA,"Not Significant"
"MAPK8",0,NA,NA,"Not Significant"
"YWHAZ",0,NA,NA,"Not Significant"
"PTK2B",0,NA,NA,"Not Significant"
"PTK2",0,NA,NA,"Not Significant"
"IL7",0,NA,NA,"Not Significant"
"MAPK14",0,NA,NA,"Not Significant"
"FGFR1",0,NA,NA,"Not Significant"
"SP1",0,NA,NA,"Not Significant"
"FLT1",0,NA,NA,"Not Significant"
"JUN",0,NA,NA,"Not Significant"
"MED1",0,NA,NA,"Not Significant"
"MAPK9",0,NA,NA,"Not Significant"
"MAPK3",0,NA,NA,"Not Significant"
"HMGB1",0,NA,NA,"Not Significant"
"CCNA2",0,NA,NA,"Not Significant"
"HMGB2",0,NA,NA,"Not Significant"
"MAP3K5",0,NA,NA,"Not Significant"
"TAF1",0,NA,NA,"Not Significant"
"LMNB1",0,NA,NA,"Not Significant"
"SDHC",0,NA,NA,"Not Significant"
"FOXO4",0,NA,NA,"Not Significant"
"HESX1",0,NA,NA,"Not Significant"
"PIK3R1",0,NA,NA,"Not Significant"
"BSCL2",0,NA,NA,"Not Significant"
"AGPAT2",0,NA,NA,"Not Significant"
"BMI1",0,NA,NA,"Not Significant"
"EEF1A1",0,NA,NA,"Not Significant"
"TFAP2A",0,NA,NA,"Not Significant"
"BDNF",0,NA,NA,"Not Significant"
"CREB1",0,NA,NA,"Not Significant"
"ATF2",0,NA,NA,"Not Significant"
"TBP",0,NA,NA,"Not Significant"
"APEX1",0,NA,NA,"Not Significant"
"HBP1",0,NA,NA,"Not Significant"
"BUB1B",0,NA,NA,"Not Significant"
"PTGS2",0,NA,NA,"Not Significant"
"HSPA8",0,NA,NA,"Not Significant"
"SIN3A",0,NA,NA,"Not Significant"
"CDK1",0,NA,NA,"Not Significant"
"TFDP1",0,NA,NA,"Not Significant"
"DDIT3",0,NA,NA,"Not Significant"
"POLA1",0,NA,NA,"Not Significant"
"MAPT",0,NA,NA,"Not Significant"
"CTGF",0,NA,NA,"Not Significant"
"HDAC2",0,NA,NA,"Not Significant"
"MAX",0,NA,NA,"Not Significant"
"MXD1",0,NA,NA,"Not Significant"
"MDM2",0,NA,NA,"Not Significant"
"SUMO1",0,NA,NA,"Not Significant"
"H2AFX",0,NA,NA,"Not Significant"
"HOXB7",0,NA,NA,"Not Significant"
"HOXC4",0,NA,NA,"Not Significant"
"JAK2",0,NA,NA,"Not Significant"
"ESR1",0,NA,NA,"Not Significant"
"LEP",0,NA,NA,"Not Significant"
"LEPR",0,NA,NA,"Not Significant"
"NFKBIA",0,NA,NA,"Not Significant"
"CLU",0,NA,NA,"Not Significant"
"MTOR",0,NA,NA,"Not Significant"
"GHRHR",0,NA,NA,"Not Significant"
"CTNNB1",0,NA,NA,"Not Significant"
"PSEN1",0,NA,NA,"Not Significant"
"DLL3",0,NA,NA,"Not Significant"
"CDKN2A",0,NA,NA,"Not Significant"
"PPP1CA",0,NA,NA,"Not Significant"
"DBN1",0,NA,NA,"Not Significant"
"NOG",0,NA,NA,"Not Significant"
"ELN",0,NA,NA,"Not Significant"
"ATR",0,NA,NA,"Not Significant"
"UCP3",0,NA,NA,"Not Significant"
"ZMPSTE24",0,NA,NA,"Not Significant"
"TP63",0,NA,NA,"Not Significant"
"UCP2",0,NA,NA,"Not Significant"
"POLB",0,NA,NA,"Not Significant"
"GCLC",0,NA,NA,"Not Significant"
"GCLM",0,NA,NA,"Not Significant"
"SIRT6",0,NA,NA,"Not Significant"
"BUB3",0,NA,NA,"Not Significant"
"RAE1",0,NA,NA,"Not Significant"
"PMCH",0,NA,NA,"Not Significant"
"MLH1",0,NA,NA,"Not Significant"
"CSNK1E",0,NA,NA,"Not Significant"
"STUB1",0,NA,NA,"Not Significant"
"PPM1D",0,NA,NA,"Not Significant"
"CHEK2",0,NA,NA,"Not Significant"
"PCK1",0,NA,NA,"Not Significant"
"ARHGAP1",0,NA,NA,"Not Significant"
"CDC42",0,NA,NA,"Not Significant"
"ARNTL",0,NA,NA,"Not Significant"
"CLOCK",0,NA,NA,"Not Significant"
"HIC1",0,NA,NA,"Not Significant"
"PAPPA",0,NA,NA,"Not Significant"
"ADCY5",0,NA,NA,"Not Significant"
"PPARGC1A",0,NA,NA,"Not Significant"
"GPX4",0,NA,NA,"Not Significant"
"UCP1",0,NA,NA,"Not Significant"
"FGF23",0,NA,NA,"Not Significant"
